"Name","callbacks.model_checkpoint.every_n_epochs","callbacks.model_checkpoint.monitor","callbacks.model_checkpoint.save_on_train_epoch_end","callbacks.model_checkpoint.save_top_k","callbacks.model_checkpoint.verbose","callbacks.model_checkpoint_cropped._target_","callbacks.model_checkpoint_cropped.auto_insert_metric_name","callbacks.model_checkpoint_cropped.dirpath","callbacks.model_checkpoint_cropped.filename","callbacks.model_checkpoint_cropped.mode","callbacks.model_checkpoint_cropped.monitor","callbacks.model_checkpoint_cropped.save_last","callbacks.model_checkpoint_cropped.save_top_k","callbacks.model_checkpoint_cropped.save_weights_only","callbacks.model_checkpoint_cropped.verbose","ckpt_path","data._target_","data.batch_size","data.com_augmentation","data.data_dir","data.dim","data.filename","data.n_particles","data.pdb_filename","model._target_","model.atol","model.data","model.div_estimator","model.force_gaussian_loss","model.jarzynski_sampler.batch_size","model.jarzynski_sampler.num_timesteps","model.logp_tol_scale","model.mean_free_prior","model.n_eps","model.net._target_","model.net.channels","model.net.cond_dim","model.net.dropout","model.net.hidden_nf","model.net.hidden_size","model.net.img_size","model.net.in_channels","model.net.layers_per_block","model.net.n_blocks","model.net.n_dimensions","model.net.n_heads","model.net.n_layers","model.net.n_particles","model.net.num_blocks","model.net.patch_size","model.net.scale_by_sigma","model.net.vocab_size","model.optimizer.betas","model.optimizer.lr","model.optimizer.weight_decay","model.rtol","model.sampling_config.batch_size","model.sampling_config.num_jarzynski_samples","model.sampling_config.num_proposal_samples","model.sampling_config.num_test_proposal_samples","model.scheduler.max_lr","model.scheduler.total_steps","model/params/non_trainable","model/params/total","model/params/trainable","paths.data_dir","paths.log_dir","paths.root_dir","paths.scratch_dir","paths.work_dir","seed","tags","trainer.check_val_every_n_epoch","trainer.devices","trainer.max_epochs","trainer.num_nodes","trainer.num_sanity_val_steps","trainer.precision","trainer.strategy","trainer.sync_batchnorm","Commit","Created","Runtime","GitHub","End Time","Hostname","Notes","GPU Type","GPU Count","State","Updated","correct_config_rate","correct_symmetry_rate","epoch","global_gradient_norm","invert_mse","lr-AdamW","test/1-Wasserstein","test/2-Wasserstein","test/Mean_L1","test/Mean_L2","test/Mean_MSE","test/Median_L1","test/Median_L2","test/Median_MSE","test/RBF_MMD","test/cropped_energy_w1","test/cropped_energy_w2","test/effective_sample_size","test/energy_w1","test/energy_w2","test/loss","test/mean_dist","test/mean_energy","test/num_eval_samples","test/rama/1-Wasserstein","test/rama/2-Wasserstein","test/rama/Mean_L1","test/rama/Mean_L2","test/rama/Mean_MSE","test/rama/Median_L1","test/rama/Median_L2","test/rama/Median_MSE","test/rama/RBF_MMD","test/rama/torus_wasserstein","test/resampled/1-Wasserstein","test/resampled/2-Wasserstein","test/resampled/Mean_L1","test/resampled/Mean_L2","test/resampled/Mean_MSE","test/resampled/Median_L1","test/resampled/Median_L2","test/resampled/Median_MSE","test/resampled/RBF_MMD","test/resampled/cropped_energy_w1","test/resampled/cropped_energy_w2","test/resampled/energy_w1","test/resampled/energy_w2","test/resampled/mean_dist","test/resampled/mean_energy","testfiltered_samples","train/grad_norm","train/loss","trainer/global_step","val/1-Wasserstein","val/2-Wasserstein","val/Mean_L1","val/Mean_L2","val/Mean_MSE","val/Median_L1","val/Median_L2","val/Median_MSE","val/RBF_MMD","val/cropped_energy_w1","val/cropped_energy_w2","val/effective_sample_size","val/energy_w1","val/energy_w2","val/loss","val/mean_dist","val/mean_energy","val/nfe","val/num_eval_samples","val/rama/1-Wasserstein","val/rama/2-Wasserstein","val/rama/Mean_L1","val/rama/Mean_L2","val/rama/Mean_MSE","val/rama/Median_L1","val/rama/Median_L2","val/rama/Median_MSE","val/rama/RBF_MMD","val/rama/torus_wasserstein","val/resampled/1-Wasserstein","val/resampled/2-Wasserstein","val/resampled/Mean_L1","val/resampled/Mean_L2","val/resampled/Mean_MSE","val/resampled/Median_L1","val/resampled/Median_L2","val/resampled/Median_MSE","val/resampled/RBF_MMD","val/resampled/cropped_energy_w1","val/resampled/cropped_energy_w2","val/resampled/energy_w1","val/resampled/energy_w2","val/resampled/mean_dist","val/resampled/mean_energy","Tags"
"stellar-plasma-1888","","val/energy_w1","","3","false","","","","","","","","","","","/home/mila/b/bosejoey/scratch/fast-tbg/logs/train/runs/2025-01-22_08-34-01/checkpoints/epoch_001.ckpt","src.data.alp_datamodule.ALPDataModule","256","1","/home/mila/b/bosejoey/fast-tbg-2/data//alanine/","99","","33","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","256","","","","","99","3","6","","","","","","8","1","","","[0.9,0.95]","0.0001","0.0001","","10000","100","10000","100000","0.0001","1000","37996592","75993184","37996592","/home/mila/b/bosejoey/fast-tbg-2/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/fast-tbg-2","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/fast-tbg-2","","[""dev""]","1","1","1000","","","","","","d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:53:59.000Z","2","https://github.com/atong01/fast-tbg/tree/d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:54:01.000Z","cn-g002.server.mila.quebec","-","NVIDIA A100-SXM4-80GB","1","finished","2025-01-22T13:54:01.000Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dev"
"wobbly-cloud-1887","","val/energy_w1","","3","false","","","","","","","","","","","/home/mila/b/bosejoey/scratch/fast-tbg/logs/train/runs/2025-01-22_08-34-01/checkpoints/epoch_000.ckpt","src.data.alp_datamodule.ALPDataModule","256","1","/home/mila/b/bosejoey/fast-tbg-2/data//alanine/","99","","33","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","256","","","","","99","3","6","","","","","","8","1","","","[0.9,0.95]","0.0001","0.0001","","10000","100","10000","100000","0.0001","1000","37996592","75993184","37996592","/home/mila/b/bosejoey/fast-tbg-2/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/fast-tbg-2","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/fast-tbg-2","","[""dev""]","1","1","1000","","","","","","d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:53:38.000Z","3","https://github.com/atong01/fast-tbg/tree/d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:53:41.000Z","cn-g002.server.mila.quebec","-","NVIDIA A100-SXM4-80GB","1","finished","2025-01-22T13:53:41.000Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dev"
"prime-music-1886","","val/energy_w1","","3","false","","","","","","","","","","","","src.data.alp_datamodule.ALPDataModule","256","1","/home/mila/b/bosejoey/fast-tbg-2/data//alanine/","99","","33","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","256","","","","","99","3","6","","","","","","8","1","","","[0.9,0.95]","0.0001","0.0001","","10000","100","10000","100000","0.0001","1000","37996592","75993184","37996592","/home/mila/b/bosejoey/fast-tbg-2/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/fast-tbg-2","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/fast-tbg-2","","[""dev""]","1","1","1000","","","","","","d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:34:04.000Z","1134","https://github.com/atong01/fast-tbg/tree/d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:52:58.000Z","cn-g002.server.mila.quebec","-","NVIDIA A100-SXM4-80GB","1","finished","2025-01-22T13:52:58.000Z","","","2","4.037451267242432","1.8602369644682423e-11","0.0000010482560571097811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.03745174407959","0.024144113063812256","1149","2.3676505088806152","2.372065305709839","0.012647949159145355","0.014461848884820938","0.00020914507331326604","0.013513539917767048","0.015813304111361504","0.00025006060604937375","0.04304027557373047","1158.8311767578125","1158.8533935546875","0.00009999999747378752","3.0063247887755716e+22","3.012806117157704e+24","NaN","3.019505023445034e+22","3.0195047982650528e+22","","5000","","","","","","","","","","","2.8005216121673584","2.804329633712769","0.15526290237903595","0.188247874379158","0.03543725982308388","0.15543411672115326","0.1886557638645172","0.035590995103120804","3.045022964477539","1158.8311767578125","1158.8533935546875","179381.765625","179381.765625","179381.796875","179222.953125","dev"
"iconic-silence-1885","","val/energy_w1","","3","false","","","","","","","","","","","","src.data.alp_datamodule.ALPDataModule","256","1","/home/mila/b/bosejoey/fast-tbg-2/data//alanine/","99","","33","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","256","","","","","99","3","6","","","","","","8","1","","","[0.9,0.95]","0.0001","0.0001","","10000","100","10000","100000","0.0001","1000","37996592","75993184","37996592","/home/mila/b/bosejoey/fast-tbg-2/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/fast-tbg-2","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/fast-tbg-2","","[""dev""]","1","1","1000","","","","","","d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:31:51.000Z","84","https://github.com/atong01/fast-tbg/tree/d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:33:15.000Z","cn-g002.server.mila.quebec","-","NVIDIA A100-SXM4-80GB","1","finished","2025-01-22T13:33:15.000Z","","","0","9.802278518676758","","2.143045100919008e-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.802278518676758","0.5102293491363525","149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dev"
"silver-bird-1884","","val/energy_w1","","3","false","","","","","","","","","","","","src.data.alp_datamodule.ALPDataModule","256","1","/home/mila/b/bosejoey/fast-tbg-2/data//alanine/","99","","33","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","256","","","","","99","3","6","","","","","","8","1","","","[0.9,0.95]","0.0001","0.0001","","10000","100","10000","100000","0.0001","1000","37996592","75993184","37996592","/home/mila/b/bosejoey/fast-tbg-2/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/fast-tbg-2","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/fast-tbg-2","","[""dev""]","1","1","1000","","","","","","d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:30:59.000Z","42","https://github.com/atong01/fast-tbg/tree/d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:31:41.000Z","cn-g002.server.mila.quebec","-","NVIDIA A100-SXM4-80GB","1","finished","2025-01-22T13:31:41.000Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dev"
"stellar-yogurt-1883","","val/energy_w1","","3","false","","","","","","","","","","","","src.data.alp_datamodule.ALPDataModule","256","1","/home/mila/b/bosejoey/fast-tbg-2/data//alanine/","99","","33","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","256","","","","","99","3","6","","","","","","8","1","","","[0.9,0.95]","0.0001","0.0001","","10000","100","10000","100000","0.0001","1000","37996592","75993184","37996592","/home/mila/b/bosejoey/fast-tbg-2/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/fast-tbg-2","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/fast-tbg-2","","[""dev""]","1","1","1000","","","","","","d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:29:54.000Z","36","https://github.com/atong01/fast-tbg/tree/d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:30:30.000Z","cn-g002.server.mila.quebec","-","NVIDIA A100-SXM4-80GB","1","finished","2025-01-22T13:30:30.000Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dev"
"dazzling-dawn-1882","","val/energy_w1","","3","false","","","","","","","","","","","","src.data.alp_datamodule.ALPDataModule","256","1","/home/mila/b/bosejoey/fast-tbg-2/data//alanine/","99","","33","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","256","","","","","99","3","6","","","","","","8","1","","","[0.9,0.95]","0.0001","0.0001","","10000","100","10000","100000","0.0001","1000","37996592","75993184","37996592","/home/mila/b/bosejoey/fast-tbg-2/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/fast-tbg-2","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/fast-tbg-2","","[""dev""]","1","1","1000","","","","","","d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:28:02.000Z","31","https://github.com/atong01/fast-tbg/tree/d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:28:33.000Z","cn-g002.server.mila.quebec","-","NVIDIA A100-SXM4-80GB","1","finished","2025-01-22T13:28:33.000Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dev"
"divine-vortex-1881","","val/energy_w1","","3","false","","","","","","","","","","","","src.data.alp_datamodule.ALPDataModule","256","1","/home/mila/b/bosejoey/fast-tbg-2/data//alanine/","99","","33","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","256","","","","","99","3","6","","","","","","8","1","","","[0.9,0.95]","0.0001","0.0001","","10000","100","100000","100000","0.0001","1000","37996592","75993184","37996592","/home/mila/b/bosejoey/fast-tbg-2/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/fast-tbg-2","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/fast-tbg-2","","[""dev""]","1","1","1000","","","","","","d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:24:37.000Z","78","https://github.com/atong01/fast-tbg/tree/d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:25:55.000Z","cn-g002.server.mila.quebec","-","NVIDIA A100-SXM4-80GB","1","finished","2025-01-22T13:25:55.000Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dev"
"sleek-energy-1880","","val/energy_w1","","3","false","","","","","","","","","","","/home/mila/b/bosejoey/scratch/fast-tbg/logs/train/multiruns/2025-01-20_17-23-26/16/checkpoints/last.ckpt","src.data.alp_datamodule.ALPDataModule","256","1","/home/mila/b/bosejoey/fast-tbg-2/data//alanine/","99","","33","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","256","","","","","99","3","6","","","","","","8","1","","","[0.9,0.95]","0.0001","0.0001","","10000","100","100000","100000","0.0001","1000","37996592","75993184","37996592","/home/mila/b/bosejoey/fast-tbg-2/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/fast-tbg-2","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/fast-tbg-2","","[""dev""]","1","1","1000","","","","","","d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:22:45.000Z","96","https://github.com/atong01/fast-tbg/tree/d31acece6668cd61c21a5e0897f28b0d5b078794","2025-01-22T13:24:21.000Z","cn-g002.server.mila.quebec","-","NVIDIA A100-SXM4-80GB","1","finished","2025-01-22T13:24:21.000Z","","","950","7.1857709884643555","","8.564739156092573e-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.185771942138672","-2.77896785736084","371799","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dev"
"rose-universe-1879","","val/energy_w1","","3","false","lightning.pytorch.callbacks.ModelCheckpoint","false","/home/mila/b/bosejoey/scratch/fast-tbg/logs/train/multiruns/2025-01-22_07-24-23/2/checkpoints","epoch_{epoch:03d}_cropped","min","val/cropped_energy_w1","false","3","false","false","","src.data.aldp_datamodule.ALDPDataModule","256","1","/home/mila/b/bosejoey/temp-fast-tbg-ms/data//AD2/","66","","22","","src.models.normalizing_flow_module.NormalizingFlowLitModule","","","","true","256","10","","true","","src.models.components.tarflow.TarFlow","128","","","","","66","3","6","","","","","","6","1","","","[0.9,0.95]","0.0001","0.0004","","10000","100","100000","100000","0.0001","1000","7162404","14324808","7162404","/home/mila/b/bosejoey/temp-fast-tbg-ms/data/","/home/mila/b/bosejoey/scratch/fast-tbg/logs/","/home/mila/b/bosejoey/temp-fast-tbg-ms","/home/mila/b/bosejoey/scratch/fast-tbg","/home/mila/b/bosejoey/temp-fast-tbg-ms","2","[""tarflow"",""mle"",""aldp_final""]","50","1","1000","","","","","","9f126ea6b70603513e6b55d03b64c8ba0a8473ef","2025-01-22T12:26:13.000Z","6075","https://github.com/atong01/fast-tbg/tree/9f126ea6b70603513e6b55d03b64c8ba0a8473ef","2025-01-22T14:07:28.000Z","cn-c028.server.mila.quebec","-","Quadro RTX 8000","1","running","2025-01-22T14:07:28.000Z","0.5313400030136108","1","79","32.17958450317383","4.048965676628491e-11","0.00009975588926362635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.17958450317383","-2.2457001209259033","31249","0.7904765605926514","0.8195502758026123","0.01866292394697666","0.024079682305455208","0.0005798310739919543","0.024140631780028343","0.031193869188427925","0.0009730574674904346","0.013680458068847656","399.0626525878906","536.5576171875","0.000011542907486727929","8001343683821568","1943853132463210500","-2.1373350620269775","8001344220692480","8001343146950656","","5000","1.8059279918670657","2.129737615585327","1.0958387851715088","1.1719326972961426","1.3734261989593506","1.3982316255569458","1.4044642448425293","1.972519874572754","0.2602243423461914","1.1912577152252195","1.825690746307373","1.8812332153320312","0.12520399689674375","0.16115956008434296","0.025972405448555943","0.135819673538208","0.17561806738376615","0.030841704457998276","2.4088869094848633","3.999765634536743","4.969419956207275","3.999765634536743","4.969419956207275","2.002399444580078","-21.108182907104492","aldp_final, mle, tarflow"
